% time spent exploring,Local Reached Total Count,episodes,mean 100 episode reward,steps,% time spent exploring in plan,Goal Reached Total Count,plan episodes,plan mean 100 episode reward,plan steps
80,4250,35500,-2.2,192045,,,,,
,,,,,80,111,1009,-80.5,192466
80,4268,35600,-2.6,192627,,,,,
80,4287,35700,-2.2,193145,,,,,
80,4298,35800,-2.9,193719,,,,,
80,4310,35900,-2.7,194276,,,,,
,,,,,80,111,1019,-80.8,194466
80,4319,36000,-3.3,194915,,,,,
80,4327,36100,-3.1,195525,,,,,
80,4346,36200,-2.2,195998,,,,,
,,,,,80,112,1029,-81.0,196460
80,4361,36300,-2.7,196561,,,,,
80,4374,36400,-2.9,197162,,,,,
80,4389,36500,-2.6,197701,,,,,
80,4406,36600,-2.8,198239,,,,,
,,,,,80,113,1039,-80.6,198440
80,4419,36700,-2.7,198792,,,,,
80,4434,36800,-2.5,199290,,,,,
80,4446,36900,-3.0,199918,,,,,
80,4475,37000,-2.1,200424,,,,,
,,,,,80,113,1049,-81.3,200440
80,4489,37100,-2.7,200952,,,,,
80,4503,37200,-2.6,201448,,,,,
80,4524,37300,-2.4,201936,,,,,
,,,,,79,115,1059,-81.6,202283
79,4539,37400,-2.3,202447,,,,,
79,4563,37500,-2.3,202964,,,,,
79,4592,37600,-2.4,203493,,,,,
79,4613,37700,-2.4,204038,,,,,
,,,,,79,115,1069,-81.2,204283
79,4627,37800,-2.7,204581,,,,,
79,4648,37900,-2.0,205069,,,,,
79,4665,38000,-2.6,205618,,,,,
,,,,,79,116,1079,-80.3,206148
79,4679,38100,-2.6,206180,,,,,
79,4698,38200,-2.3,206749,,,,,
79,4720,38300,-2.6,207331,,,,,
79,4746,38400,-2.3,207862,,,,,
,,,,,79,116,1089,-79.9,208148
79,4759,38500,-2.7,208455,,,,,
79,4778,38600,-2.6,208991,,,,,
79,4797,38700,-2.3,209486,,,,,
79,4811,38800,-2.6,210037,,,,,
,,,,,79,117,1099,-79.5,210041
79,4829,38900,-2.5,210564,,,,,
79,4838,39000,-2.9,211135,,,,,
79,4856,39100,-2.8,211717,,,,,
,,,,,79,117,1109,-80.2,212041
78,4873,39200,-2.6,212288,,,,,
78,4902,39300,-2.0,212776,,,,,
78,4923,39400,-2.1,213195,,,,,
78,4952,39500,-1.9,213708,,,,,
,,,,,78,120,1119,-79.1,213826
78,4970,39600,-2.7,214276,,,,,
78,4989,39700,-2.6,214822,,,,,
78,5011,39800,-2.1,215290,,,,,
,,,,,78,123,1129,-77.0,215413
78,5022,39900,-2.6,215873,,,,,
78,5042,40000,-2.2,216389,,,,,
78,5056,40100,-2.3,216910,,,,,
,,,,,78,124,1139,-75.5,217282
78,5080,40200,-1.9,217331,,,,,
78,5102,40300,-2.5,217867,,,,,
78,5122,40400,-2.2,218395,,,,,
78,5132,40500,-2.9,218996,,,,,
,,,,,78,126,1149,-74.8,219046
78,5148,40600,-2.8,219616,,,,,
78,5173,40700,-1.9,220070,,,,,
78,5206,40800,-1.9,220510,,,,,
78,5234,40900,-2.1,220959,,,,,
,,,,,78,127,1159,-74.1,221044
78,5255,41000,-2.5,221530,,,,,
78,5276,41100,-2.2,222044,,,,,
77,5288,41200,-2.3,222552,,,,,
,,,,,77,127,1169,-74.2,223044
77,5303,41300,-2.6,223130,,,,,
77,5315,41400,-2.6,223723,,,,,
77,5326,41500,-3.3,224394,,,,,
77,5345,41600,-2.0,224853,,,,,
,,,,,77,128,1179,-74.4,224932
77,5357,41700,-3.0,225514,,,,,
77,5378,41800,-2.4,226049,,,,,
77,5389,41900,-3.1,226648,,,,,
,,,,,77,128,1189,-74.9,226932
77,5422,42000,-1.7,227103,,,,,
77,5443,42100,-2.2,227615,,,,,
77,5450,42200,-3.0,228279,,,,,
,,,,,77,130,1199,-74.0,228736
77,5467,42300,-2.9,228937,,,,,
77,5485,42400,-2.2,229413,,,,,
77,5503,42500,-2.4,229942,,,,,
77,5517,42600,-2.9,230553,,,,,
,,,,,77,131,1209,-74.0,230606
77,5535,42700,-2.2,231076,,,,,
77,5551,42800,-2.6,231620,,,,,
77,5579,42900,-1.9,232132,,,,,
,,,,,76,131,1219,-74.2,232606
76,5595,43000,-2.5,232682,,,,,
76,5617,43100,-2.3,233217,,,,,
76,5638,43200,-2.1,233726,,,,,
76,5673,43300,-1.6,234199,,,,,
,,,,,76,133,1229,-74.4,234422
76,5695,43400,-1.8,234694,,,,,
76,5709,43500,-2.5,235272,,,,,
76,5727,43600,-2.5,235820,,,,,
,,,,,76,134,1239,-74.5,236328
76,5752,43700,-2.4,236377,,,,,
76,5774,43800,-2.4,236950,,,,,
76,5792,43900,-2.6,237534,,,,,
76,5809,44000,-2.1,238010,,,,,
,,,,,76,135,1249,-74.2,238248
76,5821,44100,-2.6,238606,,,,,
76,5842,44200,-2.3,239121,,,,,
76,5863,44300,-2.1,239679,,,,,
,,,,,76,136,1259,-73.8,240084
76,5887,44400,-2.4,240246,,,,,
76,5902,44500,-2.6,240839,,,,,
76,5907,44600,-3.1,241484,,,,,
,,,,,76,137,1269,-73.4,241973
76,5931,44700,-2.5,242069,,,,,
75,5943,44800,-2.4,242619,,,,,
75,5951,44900,-2.7,243207,,,,,
75,5973,45000,-2.0,243705,,,,,
,,,,,75,140,1279,-72.6,243754
75,5993,45100,-2.3,244231,,,,,
75,6005,45200,-2.8,244842,,,,,
75,6021,45300,-2.2,245373,,,,,
,,,,,75,140,1289,-72.1,245754
75,6030,45400,-3.0,246004,,,,,
75,6047,45500,-2.9,246638,,,,,
75,6064,45600,-2.9,247300,,,,,
,,,,,75,140,1299,-73.5,247754
75,6092,45700,-2.2,247811,,,,,
75,6112,45800,-2.5,248370,,,,,
75,6130,45900,-2.3,248880,,,,,
